,State,Family,Housing,Food,Transportation,Healthcare,Other Necessities ,Childcare,Taxes,Total,num_parents,num_children,state_id
24,Arizona,1p4c,1334.4,924.4666666666667,1147.5333333333333,1453.6666666666667,818.6,1424.7333333333333,831.5333333333333,7934.666666666667,1.0,4.0,04
25,Arizona,2p0c,764.6,480.6,1092.7333333333333,968.4,451.2,0.0,547.7333333333333,4305.333333333333,2.0,0.0,04
26,Arizona,2p1c,966.0,598.3333333333334,1164.6666666666667,1210.7333333333333,566.9333333333333,628.0,648.0,5782.533333333334,2.0,1.0,04
27,Arizona,2p2c,966.0,758.0,1221.1333333333334,1453.2666666666667,624.4666666666667,1237.2666666666667,691.6666666666666,6951.533333333334,2.0,2.0,04
28,Arizona,2p3c,1334.4,925.2,1253.8666666666666,1695.4666666666667,818.6,1424.7333333333333,838.0,8290.266666666666,2.0,3.0,04
29,Arizona,2p4c,1334.4,1131.9333333333334,1276.3333333333333,1938.0666666666666,893.6666666666666,1424.7333333333333,817.2666666666667,8816.466666666667,2.0,4.0,04
30,Arkansas,1p0c,506.4533333333333,250.68,925.4266666666666,401.8666666666667,274.3466666666667,0.0,426.92,2785.693333333333,1.0,0.0,05
31,Arkansas,1p1c,684.9733333333334,369.44,977.5333333333333,601.9333333333333,382.0133333333333,422.2266666666667,408.46666666666664,3846.786666666667,1.0,1.0,05
32,Arkansas,1p2c,684.9733333333334,541.3066666666666,1038.48,802.7333333333333,444.3066666666667,846.1333333333333,432.50666666666666,4790.1466666666665,1.0,2.0,05
33,Arkansas,1p3c,903.8266666666667,722.1333333333333,1077.3733333333332,1002.5333333333333,589.12,976.6666666666666,541.0666666666667,5812.653333333334,1.0,3.0,05
34,Arkansas,1p4c,903.8266666666667,883.9066666666666,1100.3466666666666,1202.6,647.8133333333334,976.6666666666666,507.4,6222.76,1.0,4.0,05
35,Arkansas,2p0c,543.76,459.6,1085.04,803.7333333333333,363.49333333333334,0.0,461.84,3717.36,2.0,0.0,05
36,Arkansas,2p1c,684.9733333333334,571.9733333333334,1143.36,1003.8,455.48,422.2266666666667,517.08,4798.96,2.0,1.0,05
37,Arkansas,2p2c,684.9733333333334,724.6,1180.1866666666667,1203.8666666666666,510.72,846.1333333333333,510.94666666666666,5661.573333333334,2.0,2.0,05
38,Arkansas,2p3c,903.8266666666667,884.5066666666667,1202.5866666666666,1404.6666666666667,648.0,976.6666666666666,568.8666666666667,6588.84,2.0,3.0,05
39,Arkansas,2p4c,903.8266666666667,1082.3466666666666,1212.8533333333332,1604.4666666666667,719.6933333333334,976.6666666666666,518.4933333333333,7018.546666666667,2.0,4.0,05
40,California,1p0c,1066.0862068965516,311.3103448275862,980.8793103448276,474.13793103448273,499.12068965517244,0.0,662.5,3993.6724137931033,1.0,0.0,06
41,California,1p1c,1532.9655172413793,458.7931034482759,1055.0862068965516,711.1034482758621,721.6724137931035,743.1896551724138,801.9655172413793,6024.689655172414,1.0,1.0,06
42,California,1p2c,1532.9655172413793,672.3620689655172,1147.7413793103449,948.2241379310345,799.0689655172414,1161.1379310344828,915.448275862069,7176.913793103448,1.0,2.0,06
43,California,1p3c,2112.9310344827586,896.9310344827586,1229.5344827586207,1185.2241379310344,1090.6379310344828,1289.7758620689656,1390.9137931034484,9196.103448275862,1.0,3.0,06
44,California,1p4c,2112.9310344827586,1097.8620689655172,1278.5172413793102,1422.3620689655172,1163.396551724138,1289.7758620689656,1434.3620689655172,9799.603448275862,1.0,4.0,06
45,California,2p0c,1210.5689655172414,570.8620689655172,1173.603448275862,947.6379310344828,645.4655172413793,0.0,718.0862068965517,5266.258620689655,2.0,0.0,06
46,California,2p1c,1532.9655172413793,710.5344827586207,1263.3103448275863,1184.7758620689656,812.948275862069,743.1896551724138,936.3448275862069,7183.948275862069,2.0,1.0,06
47,California,2p2c,1532.9655172413793,899.7413793103449,1345.0689655172414,1421.948275862069,881.5,1161.1379310344828,992.0689655172414,8234.603448275862,2.0,2.0,06
48,California,2p3c,2112.9310344827586,1098.655172413793,1392.948275862069,1659.155172413793,1163.7068965517242,1289.7758620689656,1357.7241379310344,10074.98275862069,2.0,3.0,06
49,California,2p4c,2112.9310344827586,1344.4137931034484,1416.655172413793,1896.3275862068965,1252.7413793103449,1289.7758620689656,1385.2931034482758,10698.310344827587,2.0,4.0,06
50,Colorado,1p0c,806.28125,295.15625,992.25,347.125,399.03125,0.0,535.203125,3374.75,1.0,0.0,08
51,Colorado,1p1c,1078.296875,434.875,1065.359375,521.046875,548.265625,757.625,643.484375,5049.109375,1.0,1.0,08
52,Colorado,1p2c,1078.296875,637.265625,1160.8125,695.71875,621.640625,1220.625,730.9375,6145.109375,1.0,2.0,08
53,Colorado,1p3c,1449.65625,850.109375,1218.125,869.84375,833.3125,1363.15625,983.203125,7567.375,1.0,3.0,08
54,Colorado,1p4c,1449.65625,1040.609375,1247.5,1044.140625,902.28125,1363.15625,976.3125,8023.625,1.0,4.0,08
55,Colorado,2p0c,859.71875,541.09375,1175.40625,693.984375,507.546875,0.0,596.15625,4373.546875,2.0,0.0,08
56,Colorado,2p1c,1078.296875,673.40625,1270.703125,868.140625,634.703125,757.625,765.875,6048.625,2.0,1.0,08
57,Colorado,2p2c,1078.296875,852.796875,1326.578125,1042.4375,699.703125,1220.625,799.09375,7019.53125,2.0,2.0,08
58,Colorado,2p3c,1449.65625,1041.1875,1354.578125,1216.796875,902.59375,1363.15625,958.75,8286.65625,2.0,3.0,08
59,Colorado,2p4c,1449.65625,1274.171875,1368.65625,1390.90625,986.921875,1363.15625,941.109375,8774.8125,2.0,4.0,08
60,Connecticut,1p0c,910.0,312.375,870.0,434.875,443.0,0.0,585.25,3556.25,1.0,0.0,09
61,Connecticut,1p1c,1341.5,460.25,955.75,654.25,652.875,1038.875,899.0,6002.375,1.0,1.0,09
62,Connecticut,1p2c,1341.5,674.5,1046.75,872.75,730.25,1459.625,1079.875,7205.0,1.0,2.0,09
63,Connecticut,1p3c,1694.375,899.625,1150.5,1091.375,940.0,1589.25,1423.25,8788.375,1.0,3.0,09
64,Connecticut,1p4c,1694.375,1101.5,1195.25,1310.625,1013.0,1589.25,1473.875,9377.125,1.0,4.0,09
65,Connecticut,2p0c,1075.0,572.875,1067.875,870.625,597.0,0.0,711.875,4895.0,2.0,0.0,09
66,Connecticut,2p1c,1341.5,712.625,1155.75,1089.25,744.25,1038.875,1029.625,7112.125,2.0,1.0,09
67,Connecticut,2p2c,1341.5,902.5,1261.875,1307.875,813.0,1459.625,1127.5,8214.375,2.0,2.0,09
68,Connecticut,2p3c,1694.375,1102.0,1304.875,1526.875,1013.125,1589.25,1384.5,9614.5,2.0,3.0,09
69,Connecticut,2p4c,1694.375,1348.5,1330.0,1745.625,1102.5,1589.25,1436.0,10246.25,2.0,4.0,09
70,Delaware,1p0c,812.3333333333334,289.3333333333333,846.0,474.0,399.3333333333333,0.0,552.3333333333334,3373.0,1.0,0.0,10
71,Delaware,1p1c,1105.3333333333333,426.3333333333333,929.0,716.0,555.0,769.0,695.3333333333334,5195.666666666667,1.0,1.0,10
72,Delaware,1p2c,1105.3333333333333,624.6666666666666,1044.0,957.0,627.3333333333334,1223.0,806.6666666666666,6387.333333333333,1.0,2.0,10
73,Delaware,1p3c,1476.6666666666667,833.3333333333334,1122.6666666666667,1199.0,837.0,1362.3333333333333,1126.6666666666667,7958.0,1.0,3.0,10
74,Delaware,1p4c,1476.6666666666667,1020.3333333333334,1167.0,1440.0,905.0,1362.3333333333333,1166.0,8537.333333333334,1.0,4.0,10
75,Delaware,2p0c,900.3333333333334,530.6666666666666,1038.0,948.0,518.0,0.0,662.6666666666666,4598.0,2.0,0.0,10
76,Delaware,2p1c,1105.3333333333333,660.3333333333334,1152.3333333333333,1190.0,639.6666666666666,769.0,838.6666666666666,6355.0,2.0,1.0,10
77,Delaware,2p2c,1105.3333333333333,836.3333333333334,1231.0,1431.0,703.6666666666666,1223.0,860.0,7390.333333333333,2.0,2.0,10
78,Delaware,2p3c,1476.6666666666667,1020.6666666666666,1273.3333333333333,1673.0,905.0,1362.3333333333333,1056.0,8767.0,2.0,3.0,10
79,Delaware,2p4c,1476.6666666666667,1249.0,1297.6666666666667,1914.0,987.6666666666666,1362.3333333333333,1071.3333333333333,9359.333333333334,2.0,4.0,10
80,District of Columbia,1p0c,1387.0,374.0,472.0,411.0,638.0,0.0,577.0,3860.0,1.0,0.0,11
81,District of Columbia,1p1c,1618.0,552.0,532.0,689.0,786.0,1666.0,1180.0,7023.0,1.0,1.0,11
82,District of Columbia,1p2c,1618.0,808.0,627.0,967.0,879.0,3504.0,2076.0,10479.0,1.0,2.0,11
